intoxicated, (a.) 醉的，陶醉的
intrepid, (a.) 無畏的，勇猛的
intricate, (a.) 複雜的，錯綜的
invaluable, (a.) 無價的，極寶貴的
inviolate, (a.) 未受侵犯的，未受傷害的
invoke, (v.) 祈求，懇求，求助於
irate, (a.) 生氣的
irrespective, (a.) 不顧的
irrevocably, (adv.) 不能挽回地
irritable, (a.) 性急的
irritated, (a.) 疼痛的，發炎的
jaunt, (n.) 短程旅行
juicy, (a.) 多汁的，有趣的
juncture, (n.) 關鍵時刻，危機
justly, (adv.) 公正地，正當地，恰如其分地
ken, (n.) 視野，知識，了解
lamentable, (a.) 令人遺憾的，悲傷的
lane, (n.) 小巷，小路，車道
lanquid, (a.) 無精打采的，倦怠的
lethargic, (a.) 昏睡的，無生氣的
liability, (n.) 責任，義務，債務
liable, (a.) 有義務的，容易...的
loathe, (v.) 厭惡，憎惡
loophole, (n.) 漏洞，空子
lump, (n.) 塊，團，腫塊
magnanimous, (a.) 寬宏大量的，慷慨的
magnate, (n.) 大亨，巨頭
makeshift, (n.) 臨時替代品，權宜之計 (a.) 臨時的，權宜的
malformed, (a.) 畸形的，變形的
malign, (v.) 誹謗，中傷
maltreat, (v.) 虐待，虐待
manifest, (v.) 顯示，表明，證明
merit, (n.) 優點，價值，功績 (v.) 值得，應得
microcosm, (n.) 小宇宙，微觀世界
mimic, (v.) 模仿，模擬
miniature, (n.) 微型，小型 (a.) 微型的，小型的
momentum, (n.) 動力，動量
moonlight, (v.) 兼職，做兼職工作
muddle, (v.) 混亂，搞亂
myriad, (n.) 無數，大量
nadir, (n.) 最低點，最低點
name-calling, (n.) 辱罵，責罵
negligent, (a.) 疏忽的，粗心的
neurotic, (a.) 神經質的，神經過敏的
nondescript, (a.) 無明顯特徵的，平凡的
nostalgic, (a.) 懷舊的，懷念的
novice, (n.) 新手，初學者
nuance, (n.) 細微差別，細微差異
occult, (a.) 神秘的，超自然的
omniscient, (a.) 全知的，無所不知的
onset, (n.) 開始，發作
onus, (n.) 負擔，責任
ordeal, (n.) 折磨，嚴峻考驗
orthrodox, (a.) 正統的，傳統的
ostensible, (a.) 表面上的，假裝的
outing, (n.) 遠足，郊遊
overbearing, (a.) 傲慢的，專橫的
overhaul, (v.) 檢修，大修，徹底檢查
palatable, (a.) 美味的，可口的
panacea, (n.) 萬靈藥，靈丹妙藥
parole, (n.) 假釋，誓言
perfidious, (a.) 背信棄義的，不忠的
perpendicular, (a.) 垂直的，直立的
perpetual, (a.) 永久的，永恆的
pertinent, (a.) 相關的，恰當的
pervade, (v.) 瀰漫，遍及
petrified, (a.) 石化的，嚇呆的
petty, (a.) 瑣碎的，小氣的
physiological, (a.) 生理學的
piety, (n.) 虔誠，孝順
placate, (v.) 安撫，撫慰
planetarium, (n.) 天文館
plausible, (a.) 貌似真實的，貌似有理的
plebiscite, (n.) 公民投票，全民公決
pledge, (n.) 誓言，保證 (v.) 保證，發誓
plunge, (v.) 跳入，投入
ponder, (v.) 沉思，考慮
portfolio, (n.) 公事包，作品集，投資組合
postulate, (v.) 假定，要求
predilection, (n.) 偏愛，愛好
preeminence, (n.) 卓越，傑出
preliminary, (a.) 初步的，開始的
premise, (n.) 前提，假設
preoccupation, (n.) 全神貫注，入神
prevelant, (a.) 普遍的，流行的
prevarication, (n.) 搪塞，支吾
principal, (a.) 主要的，首要的 (n.) 校長，首長，資本
probation, (n.) 試用(期)，審查
prodigious, (a.) 巨大的，驚人的
proliferate, (v.) 激增，擴散
prologue, (n.) 序言，開場白
promulgate, (v.) 宣揚，公布
prone, (a.) 俯臥的，傾向於...的
propagate, (v.) 繁殖，傳播
property, (n.) 財產，性質，特性
proximity, (n.) 接近，鄰近
qualm, (n.) 疑慮，不安
rempant, (a.) 猖獗的，蔓延的
rapport, (n.) 關係，和諧
rebuttal, (n.) 反駁，駁斥
