abundant,"豐富的，充足的;;und: wave, flow 波浪，流"
conundrum,"(n.) 難題，複雜問題;== enigma, riddle;"
redundant,(a.) 多餘的，累贅的;
usable,"可用的，能用的;;ut, us:用"
abuse,(v.) 濫用，妄用，辱罵
disabuse,(v.) 使省悟，糾正
utilitarian,(a.) 功利主義的
evacuate,撤離，撤退;;vacu:空
vacuous,(a.) 發呆的，愚笨的
invade,"侵入，侵略;;vad, vas: to go, to walk走"
evade,(v.) 逃避，規避;(記法：e出+vade走->逃避)
pervasive,(a.) 瀰漫的，遍佈的;;== pervading;
extravagance,奢侈，揮霍;;vag:流浪，漂泊
extravagant,"(a.) 奢侈的，揮霍的;[類] prodigal, profligate;(記法：extra超過+vag走+ant)"
prevail,"戰勝，盛行;;val, vail:力量"
ambivalent,(a.) 矛盾的;(記法：ambi(=bi雙)+val(力量)->兩邊力量都很強->矛盾)
prevalent,(a.) 普遍的，盛行的;== widespread;
valiant,(a.) 勇敢的，英勇的
vain,"自負的，徒勞的;;van, vain:空"
evanescent,"(a.) 逐漸消失的，短暫的;== ephemeral, transient, fugacious;"
vainglorious,(a.) 非常自負的，虛榮心強的;
evaporate,"使蒸發，使揮發;;vapor, vap:水氣"
vapid,(a.) 無味的，走了味的;(記法：像水氣的->索然無味的)
variety,多樣化，變化;;vari:變化
prevaricate,(v.) 支吾其詞，說謊;(記法：pre(預先)+vari(變化)+cate->預先想好變化)
variability,(n.) 變化性
revenue,"總收入，國家稅收收入;;vent, ven:到來"
circumvent,(v.) 迴避，用計謀規避;(記法：circum環繞，vent來->繞圈子->迴避)
contravene,(v.) 違背(法規，習俗);(記法：contra反+ven來+e)
convection,(v.) 傳遞，傳送，熱對流
conventional,(a.) 傳統的，習慣的，慣例的
provenance,(n.) (藝術)出處，起源;(記法：pro向前+ven(到來)+ance)
vindicate,"為.....平反，證明....正確;;vend, vind:復仇"
vindictive,(a.) 有復仇心的，報復的
revenge,報復;;venge:報仇
vengeance,(n.) 報仇，報復
verify,證明，證實;;ver:真實
aver,(v.) 極力聲明，斷言，確證;== assert;
veracious,(a.) 真實的，誠實的;[類] n. veracity 誠實、真實
verified,(a.) 檢驗的，核實的;== substantiate;
verisimilitude,(n.) 逼真;;[記法] very similar
veritable,(a.) 確實的，名副其實的
proverb,諺語、俗語;;verb: 詞語
verbose,(a.) 囉唆的，冗長的;== prolix囉唆的; superfluous多餘的，過剩的;
vernacular,(n.) 口語，白話
converge,匯聚，集中一點;;verg:傾向
convergent,adj. 匯聚的
divergent,(a.) 分歧的，相異的
reverse,"倒車，反轉;;vert, vers:轉"
adversary,(n.) 敵手，對手;== enemy;
adversity,(n.) 逆境，不幸;記法：adverse 不利的、逆境的
inadvertent,(a.) 不注意的，怠慢的
aversion,(n.) 厭惡，反感
avert,(v.) 避免，防止，避開
incontrovertible,(a.) 無疑的，明白的
conversant,(a.) 熟悉的，精通的;;[記法] con(=together)+ver(轉)+sant -> 在一起旋轉的，整天混在一起的 -> 熟悉的，了解的
convert,v. 轉變、使改變信仰
divert,(v.) 使事物轉向，使娛樂
invert,(v.) 使上下顛倒，使前後倒置
overt,(a.) 明顯的，公然的
perverse,(a.) 走上邪路的，墮落的，邪惡的;(記法：per始終，verse轉)
reversible,(a.) 可逆的，可反轉的
revert,(v.) 恢復，回復到，重新考慮
subvert,(v.) 顛覆，推翻;(記法：sub下面+vert轉)
versatile,(a.) 多才多藝的，多用途的
investigate,查明，調查;;vestig: track 追蹤
vestige,(n.) 痕跡，遺跡，殘餘
veteran,老兵，老手;;veter:老
inveterate,(a.) 積習已深的
convey,"運載，運送，表達;;vi, vey, voy:道路"
deviant,(a.) 越軌的，超出常規的;(記法：de離開+vi道路+and->離開道路)
deviate,(v.) 越軌，脫離
devious,"(a.) 狡猾的，不正直的，彎曲的;(記法：de離開+vi道路+ous);== dishonest, cunning;"
impervious,(a.) 不受影響的，無動於中的;;(記法：im不+peri音讀[潑]->不受被潑影響->不受引響的)
obviate,(v.) 排除，消除(困難);== get rid of;;(記法：ob: against + via路)
viable,(a.) 可行的，能活下去的;(記法：有路可走的，可行的);== feasible;
nonviable,(a.) 無法生存的
vibrate,震動，顫動;;vibr:震動
reverberant,(a.) 回響的，迴盪的
convince,"使某人確信，說服;;vict, vinc:征服，克服"
conviction,(n.) 判罪，堅信
evince,(v.) 表明，顯示出;[類] exhibit
vigilant,機警的，警惕的;;vigil:查看
vigorous,精力旺盛的，健壯的;[類] robust;;vigor:活力
invigorate,(v.) 賦予精神，鼓舞
villain,"壞人，反派角色;;vil, guile:卑鄙的，邪惡的"
beguile,(vt.) 欺騙，哄騙;== (a.) beguiling 欺騙的，迷人的;
guile,"(n.) 欺騙;== cunning, deceit;"
gullible,(a.) 易受騙的;== credulous;
revile,(v.) 辱罵，謾罵，痛斥
vilify,(v.) 辱罵，誹謗;[類] slander
vitiate,(v.) 削弱，破壞，損害
virus,病毒;;vir:病毒
virulence,(n.) 毒性，劇毒
virtue,美德，優點;;virtue:好，美德
virtuosity,(n.) 精湛的技巧，高潮
visible,"可見的，看得見的;;vis, vid:看"
envision,(n.) 想像，預想
improvise,(v.) 即興創作，即興表演;== extemporize;;(記法：im(不)+pro(前)+vise(看)->沒有預先看過)
invidious,(a.) 招致不滿的，惹人不快的;(記法：in不+vid看+ious->不長眼)
providential,(a.) 幸運的，及時的
provisional,(a.) 臨時的，暫時性的
revise,(v.) 校訂，修訂
vista,(n.) 遠景，展望
